date,turnover,longside_return,shortside_return
20180205,0.0,-0.006480263940191398,0.0005141208677363546
20180206,0.3932682259291359,-0.043690712908296944,0.032349492375095476
20180207,0.30766433279765437,0.007466865247154846,0.0037108633688526346
20180208,0.4351163938186282,0.013119296192749442,0.0011633194750237741
20180209,0.24881670365043967,-0.014914545842607858,0.02212305450145659
20180212,0.20766704517370305,0.017077517576626473,-0.012776927437397603
20180213,0.3261432203492478,-0.0001423667390303502,-0.0007978232930216562
20180214,0.22427457652013782,0.0008371454325374047,-0.00015483282956141935
20180222,0.2111805246970277,0.012286840007389726,-0.010220749020405626
20180223,0.32366556245309475,0.004775133322177652,-0.0006147624129163547
20180226,0.2782130814705014,0.019194134979917225,-0.015084992653607753
20180227,0.31707173224941093,0.005677338313365253,0.000848176916536014
20180228,0.35284053494027734,0.0006713192545203508,-0.0016272559620158934
20180301,0.3476011955846913,0.012594387630535183,-0.0108128694824132
20180302,0.35203467082275897,-0.002453786482931933,0.006248451045144234
20180305,0.38446082832591144,0.004740076441850312,-0.007829216323796349
20180306,0.4046055065767987,0.009853815131658098,-0.004800528590865149
20180307,0.3947688292955849,-0.0028313597642993828,0.004021501930689344
20180308,0.38799588401533336,0.010392092579184572,-0.0025648589211605295
20180309,0.4685897486199383,0.016130862835623545,-0.01601065916774622
20180312,0.4918176670299732,0.016090123125404702,-0.015149280353084488
20180313,0.89186255638485,-0.0006861380162729577,0.013915138315975012
20180314,0.8903041884753871,-0.007164715727366814,0.013697401559647797
20180315,0.6471363025769068,-0.0059961167890523435,0.004519452643924409
20180316,0.5406140169674171,-0.002401179261916499,0.00033684692668550233
20180319,0.7408357355093971,-0.0012024753058997005,-0.005515869711876641
20180320,0.4121646929238683,0.0011064976088258401,-0.0019243512122018524
20180321,0.3960178169852593,-0.001860849878301368,0.007473319448216319
20180322,0.5549455145744078,-0.0006009337444700829,0.000168331773118067
20180323,0.4324096137304677,-0.033353094267949634,0.043452610951282326
20180326,0.44683656466320976,0.004619372621148577,-0.01787420948353928
20180327,0.9533362606722482,0.02207779254236716,-0.03618509703040427
20180328,0.5832698395038383,-0.008597430861925338,0.014639636827209179
20180329,0.5047877217351794,0.016440010109645294,-1.5248981403004203e-05
20180330,0.5571724788099245,0.006978534120763624,-0.028108684489253653
